SurfaceName,PieceId,X,Y,Z
Gravel Surface 1,1,1088.4322,736.6481,11.6544
Gravel Surface 1,1,1087.9713,736.8253,11.6317
Gravel Surface 1,1,1090.3783,736.0199,11.7487
Gravel Surface 1,1,1092.1964,735.1505,11.8508
Gravel Surface 1,1,1096.6867,730.9807,12.4976
Gravel Surface 1,1,1097.9137,728.9907,13.1724
Gravel Surface 1,1,1096.9259,730.7432,12.5940
Gravel Surface 1,1,1097.9497,729.8540,12.9770
Gravel Surface 1,1,1098.2413,729.6007,13.0792
Gravel Surface 1,1,1098.7741,730.0255,13.0594
Gravel Surface 1,1,1100.2787,730.8363,13.0941
Gravel Surface 1,1,1097.8632,727.7813,13.4461
Gravel Surface 1,1,1099.4485,725.7642,14.5200
Gravel Surface 1,1,1097.3802,728.3958,13.1189
Gravel Surface 1,1,1088.4300,683.7075,11.9382
Gravel Surface 1,1,1091.6009,679.7416,11.9377
Gravel Surface 1,1,1117.5197,685.8839,14.8507
Gravel Surface 1,1,1131.2064,657.1446,13.7847
Gravel Surface 1,1,1132.3344,655.7175,13.7824
Gravel Surface 1,2,1194.8142,595.8815,13.9873
Gravel Surface 1,2,1192.2441,593.8601,13.9798
Gravel Surface 1,2,1199.8980,598.3373,13.6437
Gravel Surface 1,2,1200.5897,594.3049,13.0000
Gravel Surface 1,2,1192.8577,592.2420,13.5000
Gravel Surface 1,2,1191.1590,590.4100,13.5000
Gravel Surface 1,2,1185.4496,588.5161,13.9700
Gravel Surface 1,2,1189.2449,588.8044,13.5000
Gravel Surface 1,2,1194.1514,584.5362,13.0000
Gravel Surface 1,2,1195.7256,585.7677,13.0000
Gravel Surface 1,2,1197.1272,587.1924,13.0000
Gravel Surface 1,2,1196.9261,583.4402,12.9228
Gravel Surface 1,2,1198.1799,584.4672,12.9174
Gravel Surface 1,2,1198.5586,584.7775,12.9262
Gravel Surface 1,2,1198.3329,588.7864,13.0000
Gravel Surface 1,2,1199.7626,585.7638,12.9159
Gravel Surface 1,2,1200.1527,586.0833,12.9229
Gravel Surface 1,2,1200.5004,586.3682,12.9280
Gravel Surface 1,2,1199.3222,590.5229,13.0000
Gravel Surface 1,2,1200.6496,586.4904,12.9264
Gravel Surface 1,2,1201.7259,587.3555,12.9145
Gravel Surface 1,2,1202.1255,587.6766,12.9186
Gravel Surface 1,2,1200.0788,592.3728,13.0000
Gravel Surface 1,2,1203.2847,588.6081,12.9027
Gravel Surface 1,2,1203.7520,588.9837,12.9059
Gravel Surface 1,2,1204.2100,589.3517,12.9080
Gravel Surface 1,2,1202.4690,595.2840,13.0161
Gravel Surface 1,2,1202.0465,595.7985,13.0105
Gravel Surface 1,2,1201.3103,596.5309,12.9700
Gravel Surface 1,2,1200.8464,596.2870,13.0000
Gravel Surface 1,2,1201.2662,596.5873,12.9910
Gravel Surface 1,2,1201.6855,596.2381,12.9887
Gravel Surface 1,2,1202.6560,597.5811,12.9875
Gravel Surface 1,2,1202.3894,596.8016,12.9976
Gravel Surface 1,2,1204.0261,593.3877,12.9701
Gravel Surface 1,2,1205.8709,591.2946,12.9180
Gravel Surface 1,2,1206.0999,590.8705,12.9090
Gravel Surface 1,2,1196.5183,583.1131,12.9108
Gravel Surface 1,2,1195.2319,582.0849,12.9102
Gravel Surface 1,2,1194.7397,581.6915,12.8920
Gravel Surface 1,2,1194.0090,581.1076,12.8615
Gravel Surface 1,2,1192.7906,580.1338,12.8510
Gravel Surface 1,2,1192.4313,583.5186,13.0000
Gravel Surface 1,2,1191.6127,579.1923,12.7895
Gravel Surface 1,2,1190.5445,578.3385,12.7685
Gravel Surface 1,2,1190.5940,582.7320,13.0000
Gravel Surface 1,2,1187.1453,587.4503,13.5000
Gravel Surface 1,2,1188.6704,582.1896,13.0000
Gravel Surface 1,2,1189.6049,577.5875,12.7428
Gravel Surface 1,2,1187.6842,576.0667,12.5958
Gravel Surface 1,2,1188.4556,576.6690,12.6543
Gravel Surface 1,2,1187.3283,575.7888,12.5806
Gravel Surface 1,2,1186.6928,581.9005,13.0000
Gravel Surface 1,2,1186.4250,575.1979,12.5000
Gravel Surface 1,2,1184.5535,576.2616,12.5000
Gravel Surface 1,2,1176.5395,574.5200,12.3137
Gravel Surface 1,2,1185.0426,574.3644,12.4521
Gravel Surface 1,2,1177.5807,573.9490,12.3143
Gravel Surface 1,2,1178.5487,573.6885,12.3228
Gravel Surface 1,2,1178.9097,573.5914,12.3322
Gravel Surface 1,2,1182.4981,573.5520,12.4104
Gravel Surface 1,2,1183.7377,573.8980,12.4315
Gravel Surface 1,2,1180.2797,573.4586,12.3640
Gravel Surface 1,2,1182.0628,573.4586,12.4025
Gravel Surface 1,2,1182.1633,573.4586,12.4046
Gravel Surface 1,2,1185.2815,574.4498,12.4586
Gravel Surface 1,2,1174.9893,575.4499,12.2443
Gravel Surface 1,2,1174.1834,576.0375,12.2452
Gravel Surface 1,2,1174.0842,576.1591,12.2470
Gravel Surface 1,2,1181.8211,578.1687,12.5000
Gravel Surface 1,2,1184.6945,581.8696,13.0000
Gravel Surface 1,2,1182.7089,582.0973,13.0000
Gravel Surface 1,2,1183.0906,585.7369,13.5000
Gravel Surface 1,2,1181.2361,585.2799,13.5000
Gravel Surface 1,2,1183.4129,587.1136,13.9423
Gravel Surface 1,2,1183.4633,587.1484,13.9482
Gravel Surface 1,2,1170.1123,587.0369,12.0000
Gravel Surface 1,2,1183.1597,586.9393,13.9041
Gravel Surface 1,2,1179.2804,584.2680,13.1637
Gravel Surface 1,2,1178.9087,583.3093,13.0000
Gravel Surface 1,2,1180.7694,582.5799,13.0000
Gravel Surface 1,2,1179.3424,580.2590,12.5000
Gravel Surface 1,2,1173.3895,577.0440,12.2559
Gravel Surface 1,2,1172.4673,578.2185,12.0650
Gravel Surface 1,2,1175.6059,581.7377,12.0269
Gravel Surface 1,2,1172.4021,578.3015,12.0515
Gravel Surface 1,2,1174.9223,581.2669,12.0081
Gravel Surface 1,2,1171.8052,579.1205,12.0003
Gravel Surface 1,2,1171.5807,579.4285,11.9960
Gravel Surface 1,2,1174.3951,581.7234,12.0000
Gravel Surface 1,2,1176.1665,582.1237,12.2205
Gravel Surface 1,2,1176.5834,582.4108,12.3678
Gravel Surface 1,2,1177.7201,583.1935,12.7599
Gravel Surface 1,2,1177.0616,582.5637,12.5000
Gravel Surface 1,2,1178.4335,583.6848,13.0000
Gravel Surface 1,2,1178.7512,583.3842,13.0000
Gravel Surface 1,2,1169.2139,582.6760,11.9962
Gravel Surface 1,2,1169.1387,582.7905,11.9948
Gravel Surface 1,2,1169.0447,582.9335,11.9948
Gravel Surface 1,2,1165.3127,587.6147,11.9948
Gravel Surface 1,2,1163.8367,594.8226,12.0000
Gravel Surface 1,2,1163.1918,590.2751,11.9937
Gravel Surface 1,2,1163.1208,590.3641,11.9930
Gravel Surface 1,2,1163.0679,590.4305,11.9922
Gravel Surface 1,2,1157.9131,596.8964,11.9921
Gravel Surface 1,2,1157.5612,602.6083,12.0000
Gravel Surface 1,2,1151.2856,610.3940,12.0000
Gravel Surface 1,2,1139.8500,645.2897,13.6923
Gravel Surface 1,2,1145.0101,618.1797,12.0000
Gravel Surface 1,2,1141.8255,617.0761,11.9561
Gravel Surface 1,2,1147.4925,609.9676,11.9554
Gravel Surface 1,2,1153.1427,602.8803,11.9547
Gravel Surface 1,2,1156.8660,598.2099,11.9916
Gravel Surface 1,2,1136.1417,624.2055,11.9568
Gravel Surface 1,2,1138.7346,625.9654,12.0000
Gravel Surface 1,2,1139.6765,645.1367,13.6622
Gravel Surface 1,2,1139.2759,644.7836,13.5927
Gravel Surface 1,2,1132.4590,633.7511,12.0000
Gravel Surface 1,2,1137.3612,643.0959,13.2607
Gravel Surface 1,2,1130.0917,636.6881,12.0000
Gravel Surface 1,2,1129.3535,632.7203,11.9536
Gravel Surface 1,2,1129.9307,631.9963,11.9557
Gravel Surface 1,2,1135.6007,624.8841,11.9550
Gravel Surface 1,2,1127.8004,634.6684,11.9538
Gravel Surface 1,2,1140.2781,645.6670,13.7725
Gravel Surface 1,2,1184.4545,587.8309,13.9541
Gravel Surface 1,2,1184.8931,586.3689,13.5000
Gravel Surface 1,2,1169.8139,581.8528,11.9961
Gravel Surface 1,2,1175.4306,575.1281,12.2656
Gravel Surface 1,2,1196.8669,583.3917,12.9210
Gravel Surface 1,2,1192.4240,594.0016,13.9803
Gravel Surface 1,2,1199.1511,599.2926,14.0000
Gravel Surface 2,0,995.2542,644.1709,11.2946
Gravel Surface 2,0,994.5771,645.0369,11.2860
Gravel Surface 2,0,996.7755,634.9651,11.5152
