SurfaceName,PieceId,X,Y,Z
Gravel Surface 1,0,1243.4423,618.3026,14.0000
Gravel Surface 1,0,1246.8502,610.9307,13.0000
Gravel Surface 1,0,1245.5747,610.9995,13.0000
Gravel Surface 1,0,1243.6276,611.4459,13.0000
Gravel Surface 1,0,1242.0229,612.0971,13.0000
Gravel Surface 1,0,1241.3099,611.8391,13.0034
Gravel Surface 1,0,1241.9523,611.0116,13.0069
Gravel Surface 1,0,1244.2457,608.6655,12.9477
Gravel Surface 1,0,1243.9638,608.4204,12.9459
Gravel Surface 1,0,1245.7325,609.9586,12.9801
Gravel Surface 1,0,1245.8341,610.0469,12.9802
Gravel Surface 1,0,1245.9315,610.1317,12.9800
Gravel Surface 1,0,1240.4561,612.9390,13.0004
Gravel Surface 1,0,1240.5323,612.9787,13.0000
Gravel Surface 1,0,1240.8814,616.9748,14.0000
Gravel Surface 1,0,1239.3650,614.3687,13.1417
Gravel Surface 1,0,1240.2419,613.2149,13.0000
Gravel Surface 1,0,1239.5020,614.1680,13.1118
Gravel Surface 1,0,1239.2724,614.4955,13.2112
Gravel Surface 1,0,1238.5981,615.3816,13.6935
Gravel Surface 1,0,1238.2558,615.8166,13.9309
Gravel Surface 1,0,1238.1779,615.9364,13.9988
Gravel Surface 1,0,1237.1827,617.1804,14.6896
Gravel Surface 1,0,1237.7866,616.4129,14.2660
Gravel Surface 1,0,1237.8727,616.3036,14.2056
Gravel Surface 1,0,1237.8438,617.7043,14.6673
Gravel Surface 1,0,1239.5420,619.0470,14.6087
Gravel Surface 1,0,1198.8369,682.9476,14.7223
Gravel Surface 1,0,1200.0995,681.3543,14.7214
Gravel Surface 1,0,1202.0648,678.8741,14.7200
Gravel Surface 1,0,1201.0511,680.1534,14.7207
Gravel Surface 1,0,1199.3169,704.8783,12.2552
Gravel Surface 1,0,1167.8606,744.5464,11.8487
Gravel Surface 1,0,1132.4353,748.6342,12.3215
Gravel Surface 1,0,1140.1319,745.7563,14.1460
Gravel Surface 1,0,1136.9336,744.1802,13.6263
Gravel Surface 1,1,1144.1482,656.3848,12.0000
Gravel Surface 1,1,1141.5862,654.6041,11.9506
Gravel Surface 1,1,1140.9387,655.4140,11.9481
Gravel Surface 1,1,1146.4087,653.5803,12.0000
Gravel Surface 1,1,1144.1832,651.3560,11.9503
